Title,"Include?
[1/0]",Year,Citation Reference,"Assigned to
[Dan, Ezz, Maddi, Sanyam, Shae, Vas]",Citations 2025,Citations Per Year Sept 2025,Venue,"URL
(optional)","DOI
(optional)","Input
[source_code, binary_code, binary_executable]","Input granularity [line, snippet, function, slice/gadget, commit, repo/project, executable]","Classification Granularity
[line, snippet, function, slice/gadget, commit, repo/project, executable]","Granularity justification (optional, if any)","Input (graph) representation
[intermediate_code, AST, CFG, DFG, CPG, PDG]","Input Vectorization
[NA, hash, manual_features, pretrained_token_embedding, pretrained_sentence_embedding, learnable_token_embedding, node_embedding, ..]","Tools Used
(as part of solution e.g., preprocessing)
[joern, word2vec, GPT-4, ...]","Task
[binary, binary-CWE, multi-class, exploit]","Task justification (optional, if any)",Mention explainability or interpretability,"Explainability
[0/1]","Vulnerability Types Targeted
[general / specific(e.g., CWE-XXX, XSS, SQLI, memory)]","Vulnerability Types in Datasets
[NA, general, CWE-XXX, XSS, SQLI, memory)]","Test Dataset Type
[create_own_from_scratch, subset_existing (e.g., NVD, SARD), benchmark]","Test Dataset
[NA, Juliet (SATE IV), NVD, SARD, Devign (aka. FFMpeg+ Qemu), Reveal (aka. Chromium+Debian), Big-Vul (aka. Fan et. al.), CodeXGLUE, Draper (Russel et. al.), CVEFixes, D2A, DiverseVul, ...]","Dataset justification (optional, if any)","Dataset Practicality
[Synthetic, real-world, both]","Programming Language
[NA, C/C++, Java, Python, PHP, JavaScript, any (binary, or assembly)]",Mention duplicate in dataset, Mention dataset quality, Mention dataset noise,Mention dataset split, Mention dataset balance,"Programming language justification 
(optional, if any)","ML?
[0/1]","LLM?
[0/1]","Basic Approach
[static, dynamic, both]","Approach
[fuzzing, manual_features, symbolic_execution, taint_analysis, signature, code_similarity, ML_preNN, MLP, CNN, RNN (including GRU, LSTM, BRNN, BGRU, BLSTM), Transformer, GNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Specific Approach
[GCN, GAT, RGCN, GGNN, LSTM, BLSTM, BGRU, GRU, BRNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Approach justification (optional, if any)",Discuss metrics,"Evaluation Metrics
[F1, Acc, ROCAUC,  PRAUC, Precision, Recall, TopN-Acc]","Metrics justification (optional, if any)",Discuss ablation,Discuss overfitting,"Best Results
(should be readable as python dict)
{""dataset"":{""metric"":value, ""metric"":value}}","repo
(code or data)
[url]","Open-sourced Code
[NA, 0, 1]","Open-sourced Dataset
[NA, 0, 1]",Summary,,,,
A Lightweight Assisted Vulnerability Discovery Method Using Deep Neural Networks,1,2019,li2019lightweight,Sanyam,39,5.847076462,IEEE Access,https://ieeexplore.ieee.org/document/8736948,10.1109/ACCESS.2019.2923227,source_code,function,function,,,learnable_token_embedding,,binary,,0,0,general,general,subset_existing,MITRE CVE ,,real-world,"C/C++, Python",0,1,0,0,0,,1,0,static,RNN,BLSTM,,1,"FPR, Recall",,0,1,"{""LAVDNN-TLRM"":{""FPR"":3.5,""recall"":98.5},""LAVDNN-Flawfinder"":{""FPR"":11.6, ""recall"":95.4}}",https://github.com/Stab1el/LAVDNN,1,1,,,,,
A software vulnerability detection method based on deep learning with complex network analysis and subgraph partition,1,2023,cai2023software,Ezz,23,8.61423221,Information and Software Technology,https://www.sciencedirect.com/science/article/pii/S0950584923001830,,source_code,function,function,"None, basically this is what SARD and CVE datasets had",CPG,pretrained_token_embedding,"joern, word2vec",binary,,0,0,general,18 CWE types,benchmark,"VulCNN, DeepWuKong",None,both,C/C++,0,0,0,0,0,None,1,0,static,CNN,TextCNN,,1,"FPR, FNR, Acc",None,1,1,"{""vulcnn"":{""fpr"":11.4,""fnr"":13.9, ""acc"":89.3}, ""deepwukong"":{""fpr"":12.5, ""fnr"":13.1, ""acc"":91.7}}",,0,0,"The main idea of the paper is to convert the CPG into an image-like matrix, which could then be used for classification using. TextCNN. The main motivation for using CNNs is that they are much faster than RNNs and GNNs. The image like matrix is obtained by measuring the significance of each node in the CPG using complex network analysis theory, that is degree centrality, closeness centrality, and eigenvector ecentrality.",,,,
A transformer-based IDE plugin for vulnerability detection,1,2023,mamede2022transformer_ide,Dan,24,8.988764045,IEEE/ACM International Conference on Automated Software Engineering,https://dl.acm.org/doi/10.1145/3551349.3559534,10.1145/3551349.3559534,source_code,function,function,,,pretrained_token_embedding,JavaBERT,multi-class,,0,0,general,"CWEs: 113, 129, 134, 15, 190, 191, 197, 23, 319, 36, 369, 400, 470, 606, 643, 690, 78, 789, 80, 89 and 90.",subset_existing,Juliet,,synthetic,Java,0,1,0,0,0,,1,0,static,Transformer,,,1,"Acc, Precision, Recall, F1, FNR, FPR,",,0,0,"{""Juliet"": {""Acc"": 98.9,
""Precision"": 95,
""Recall"": 93,
""F1"": 94,
""FNR"": 7.1,
""FPR"": 0.9}}",https://github.com/TQRG/VDET-for-Java,1,1,A short paper based on a masters thesis. It presents an extension for VSCode -- VDet -- that uses JavaBert for vulnerability detection in Java code. Not a whole lot here. https://repositorio-aberto.up.pt/bitstream/10216/142743/2/572010.pdf,,,,
A vulnerability detection algorithm based on residual graph attention networks for source code imbalance (RGAN),1,2024,tang2024rgan,Ezz,22,13.17365269,Expert Systems with Applications,https://dl.acm.org/doi/10.1016/j.eswa.2023.122216,10.1016/j.eswa.2023.122216,source_code,function,function,,CFG,learnable_token_embedding,joern,binary,,0,0,general,general,benchmark,reveal,,real-world,C/C++,0,1,1,0,0,,1,0,static,GNN,Residual-GNN,,1,"Precision, Recall, F1, FPR, FNR",,1,0,"{""reveal"":{""precision"":42.8, ""recall"":53, ""f1"": 47.3, ""fpr"":8, ""fnr"":47}}",,0,0,"This paper proposes RGAN, a GAT with residual connections to detect vulnerabilities in software. Firstly, they designed a local feature extraction module using a BLSTM, and feature fusion mopdule to combine local and global features using attention. The underlying graph is the CFG. Second, they feed that into the GAT with residual connections. Thirdly, the propose a a dynamic CE loss that deals with sample imbalance.",,,,
Automated software vulnerability detection with machine learning,1,2018,harer2018automated,Ezz,266,34.68057366,International Conference on Machine Learning and Applications,https://arxiv.org/pdf/1803.04497,10.1109/ICMLA.2018.00120,source_code,function,function,,CFG,pretrained_token_embedding,,binary,,0,0,general,general,create_own_from_scratch,-,,real-world,C/C++,0,1,0,0,0,"While our work focuses on C/C++, the techniques are applicable
to any language",1,0,static,CNN,TextCNN,,1,"ROCAUC, PRAUC",,0,0,"{""null"":{""ROCAUC"":87, ""PRAUC"": 49}}",,0,0,"The paper (by same authors as russel_et_al) proposes a ML-based vulnerability detector for C/C++ programs.  The proposed method takes two types of input features: build features extracted from the CFG such as the use-def matrix and the opcode vector, and source features as tokens extracted from the source code and vecorized through bag-of-words or word2vec. The authors build source-only, build-only, and combined classifiers, and show that source features are better than build features, and that combined classifiers are better than both.",,,,
Automated Vulnerability Detection in Source Code Using Deep Representation Learning,1,2018,russell_2018,Ezz,858,111.8644068,International Conference on Machine Learning and Applications,http://arxiv.org/abs/1807.04320,10.48550/arXiv.1807.04320,source_code,function,function,"We chose to an-
alyze software packages at the function-level because it is
the lowest level of granularity capturing the overall flow of a
subroutine.",,learnable_token_embedding,,binary,,0,0,general,"CWE: 120,121,122, 119, 476, 469, 20, 457, 805",create_own_from_scratch,"Draper, Juliet",,both,C/C++,0,0,0,0,0,"While our work focuses on C/C++, the techniques are applicable to any
programming language",1,0,static,CNN,Conv2d,,1,"PRAUC, ROCAUC, MCC, F1",,0,1,"{""draper"":{""PRAUC"": 51.8, ""ROCAUC"": 90.4, ""MCC"": 53.6, ""F1"": 56.6}, ""juliet"":{""PRAUC"": 91.6, ""ROCAUC"": 93.6, ""MCC"": 67.2, ""F1"": 82.4}}",,0,1,"This work proposes in 2018 a function-level CNN-based C/C++ vulnerability detector. The main motivation behind the work is that most previous works utilizing DL for AVD relies on some manual pre-processing of the source code. The authors argue that learning the pre-processing step through a CNN can enhance the detection performance. In order to feed the source code into a CNN, it was transformed into a [n x d] matrix, where n is the number of tokens and d is the dimension of a learnable embedding for each token. The CNN was trained to classify the source code, but the authors only extracted intermediate source feature representations from the CNN, which were finally fed to a random forest classifier.",,,,
Automated vulnerability detection in source code using quantum natural language processing,1,2023,akter2022quantum,Sanyam,17,6.367041199,The Second International Conference on Ubiquitous Security,https://link.springer.com/chapter/10.1007/978-981-99-0272-9_6,,source_code,function,function,"We chose to analyze software packages at the function-level because it is the lowest granularity level that captures a
subroutine’s overall flow.
","AST, CFG, DFG",node_embedding,,binary,,1,1,general,general,benchmark,"Draper, devign",,both,C/C++,0,0,0,0,0,"C and C++ code from the SATE IV Juliet Test Suite, Debian Linux distribution, and public Git repositories on GitHub described in the paper of Russe",1,0,static,RNN,QLSTM,"
No real reasoning given for why they used LSTMs?

The Quantum version of SVM recently played an important role in solving classification and detection problems, but the quantum version of LSTM is unexplored.
",1,"Acc, F1, MCC","However, the evaluation metrics differ with the types of models. The types of models are classification and regression. Regression refers to the problem that involves predicting a numeric value. Classification refers to the problem that involves predicting a discrete value. The regression problem uses the error metric for evaluating the models. Unlike the regression problem model, the classification problem uses the accuracy metric for evaluation. Since our motive is to detect the vulnerabilities, we used accuracy, f1 score, Precision,
and Recall for our evaluation metric 


Basically - it’s a classification problem so we did those metrics…
",0,1,"{""Draper"":{""Acc"":93.49, ""F1"":54.32,""MCC"":51.2},""FFmpeg"":{""Acc"":61.86, ""F1"":61.83,""MCC"":25.2}}",,0,1,,,,,
BGNN4VD: Constructing Bidirectional Graph Neural-Network for Vulnerability Detection,1,2021,bgnn4vd_2021,Ezz,223,47.751606,Information and Software Technology,https://dl.acm.org/doi/10.1016/j.infsof.2021.106576,10.1016/j.infsof.2021.106576,source_code,function,function,,"AST, CFG, DFG","pretrained_token_embedding, node_embedding",,binary,,0,0,general,general,"create_own_from_scratch, subset_existing",NVD,,real-world,C/C++,1,1,0,1,0,"Joern7 we used for extracting multiple graphs is only suitable for C/C++ projects
",1,0,static,GNN,BGNN,,1,"Acc, Precision, Recall, F1"," widely-used metrics 
",0,0,"{""null"":{""Acc"":74.7, ""Precision"":77.3, ""Recall"":76.3, ""F1"":76.8}}",https://github.com/SicongCao/BGNN4VD,0,1,"The paper proposes BGNN4VD, a function-level GNN-based C/C++ vulnerability detector. The paper uses multiple graph representations of source code (e.g., AST, CFG, DFG) to extract syntax and sematic information. In particular, they combine AST, CFG, and DFG into so-called code composite graph (CCG) which is used as the underlying graph for the GNN. The nodes are vectorized using word2vec and fed (with the node type) as an input to a bidirectional graph neual network (BGNN). The motivation behind idirectionality is that the GNN should be able to deal with the code sequences both in the forward and backward direction to obtain a deeper representation, The BGNN outputs final node embeddings, which are then fed as an input to CNN classifier that detects vulnerabilities. BGNN4VD was shown to outperform SySeVR, VUDDY, Flawfinder, and RATS.",,,,
BiTCN_DRSN: An effective software vulnerability detection model based on an improved temporal convolutional network,1,2023,chen2023bitcn,Ezz,20,7.490636704,Journal of Systems and Software,https://www.sciencedirect.com/science/article/pii/S016412122300167X,,source_code,gadget/slice,slice/gadget,,,pretrained_token_embedding,word2vec,binary,,0,0,general,same_as_vuldeepecker,benchmark,vuldeepecker,,both,C/C++,0,0,1,0,0,"Our proposed method currently only works with C/C++ source code: Its vulnerability-detection performance with other programming languages is unknown. We look forward to verifying whether or not the method can effectively detect vulnerabilities in source code written in other programming languages, especially in Java or python, two programming languages commonly used in enterprise projects.",1,0,static,CNN,,,1,"Acc, FPR, FNR, Precision, F1","Details of these five widely-used metrics
are presented in ",1,0,"{""vuldeepecker"":{""acc"":95.9, ""FPR"":8.1, ""FNR"":2.5, ""Precision"":96.2, ""F1"":96.8}}",,1,NA,"The paper proposes BiTCN_DRSN, a CNN-based vulnerability detector. The authors highlight the advantages of Temporal CNNs (i.e., TCN) such as that they have stable gradients. However, since TCNs lack bi-directionality, they introduce BiTCNs, with bidirectionality. They also propose deep residual shrinkage network (DRSN) to mitigate the weak noise resistance of residual connections.",,,,
CD-VulD: Cross-Domain Vulnerability Discovery Based on Deep Domain Adaptation,1,2022,cdvuld_2020,Ezz,93,25.34059946,IEEE Transactions on Dependable and Secure Computing,https://ieeexplore.ieee.org/document/9054952,10.1109/TDSC.2020.2984505,source_code,function,function,,AST,learnable_token_embedding,CodeSensor,binary,,0,0,specific,"CWE-119, CWE-399",subset_existing,NVD,,real-world,C/C++,0,0,0,1,0,,1,0,static,RNN,BLSTM,,1,"Precision, Recall, F1, FPR",,0,1,"{""CWE-all"":{""Precision"":93, ""Recall"":89.9, ""FPR"":2.7, ""F1"":91.2}, ""LFL-all"":{""Precision"":87.9, ""Recall"": 51.5, ""FPR"": 2.4, ""F1"":64.6}}",,0,1,,,,,
